sample_id,active_metal,metal_loading_wt,promoter,promoter_loading_wt,support_material,synthesis_method,calcination_temperature,calcination_time,reaction_temperature,pressure,gas_hourly_space_velocity,co2_ch4_ratio,ch4_conversion,co2_conversion,h2_co_ratio,catalyst_stability
catalyst_001,Pd,8.017219002454922,Ca,2.984250789732435,CeO2,coprecipitation,578.3331011414365,2.3998996632720115,737.7746675897602,2.334834444556088,15714.67271687763,1.0603553891795412,64.30485463618966,69.94506827690266,0.7595976850138129,58.727598425940826
catalyst_002,Rh,6.504878444394528,Ce,0.035331526098587,ZrO2,incipient_wetness,409.2249700165663,4.099098641033557,719.9582915145767,1.1866626528544617,48950.22075365837,0.8931085361721217,67.77037493970444,66.17725595540631,0.6631189328348456,78.43589930537803
catalyst_003,Pt,7.122767847290017,Ca,2.2524962598477147,CeO2,incipient_wetness,405.3059844639466,5.768807022739411,768.9864653536617,2.5416660101596644,10638.650088808568,0.8923575302488597,74.5815108791693,76.22225426498667,0.7278631550723401,51.65064901353048
catalyst_004,Ru,2.640124790092561,Ce,3.7768070515882624,ZrO2,sol_gel,570.0623497964979,2.8317666514727557,770.3100983459974,1.1252531698222343,43691.39098379994,0.9799016533479062,64.13370628255339,67.04886536825448,0.8234573131693529,54.24764009849213
catalyst_005,Pd,3.927972976869379,Ce,1.9433864484474104,TiO2,wet_impregnation,508.5396127095584,5.314950036607717,707.0259980080768,2.123738038749523,31707.843326329938,0.8563696899899051,60.71088205891584,63.49152749283238,0.8028268419754894,79.08607878948854
catalyst_006,Co,9.234637079894028,La,4.250192888948996,Al2O3,sol_gel,579.7802696552814,2.381640465961645,711.2454756594799,3.675365010654429,36636.89426469986,1.0365191150830908,45.3499019649221,44.28805101439357,0.5540622134823716,84.23574978670376
catalyst_007,Ni,3.123864277740602,Ca,1.2803416138066197,SiO2,wet_impregnation,416.17343581537256,4.84265155874315,633.2672462435494,2.7573460074630805,18068.76809341585,1.1583054382694078,56.0583127014294,58.25037308363651,0.5,61.966026999146
catalyst_008,Rh,3.059183489424602,Mg,0.3848995491439649,MgO,sol_gel,515.9005811655072,2.6448851490160177,878.9092957027719,4.232481518257668,35336.15026041694,1.148584236075087,72.59831272527948,78.29813691237908,1.1091453347168794,65.56856100825316
catalyst_009,Pd,1.9904673207490908,Ce,1.1396758127097084,TiO2,sol_gel,570.8431154505025,5.272059063689973,858.2191749769031,1.0278085221247628,30429.89210310263,0.9669644012595116,75.5687446338931,73.11450110496956,0.987524664306812,58.07797002430067
catalyst_010,Ni,1.5840302239808342,K,1.2695770696717237,Al2O3,incipient_wetness,498.7504251354405,4.785217091359153,813.6811769773326,1.5923477198135996,49909.61940195767,0.906712405710114,61.53715214019216,55.790206521942125,0.961852587459138,93.59676252639936
catalyst_011,Pt,5.778411249854227,,0.0,SiO2,coprecipitation,579.1132658292366,4.211572356285312,777.809017163818,1.323413305330861,24786.17824245618,0.8968639753109704,60.57302454513853,66.4295049009608,0.9957501907969984,75.7171848355884
catalyst_012,Ni,5.573788990666468,Ce,3.479064033954409,ZrO2,sol_gel,743.343521925488,3.303835620807539,666.0723142696645,3.8445981297520713,42380.04184558862,0.9394663949166916,56.33494986836509,60.13992624563102,0.5,66.3711848504124
catalyst_013,Ni,7.2620595941057395,La,1.1427501089864984,TiO2,wet_impregnation,469.9819708383745,5.928673373317743,754.9907673813043,2.043316699321636,49850.147990316975,1.1861677405155175,66.25249996929249,62.127713510281744,0.8252236209885345,66.76205958140773
catalyst_014,Pt,8.018879912718614,K,3.2101582307714387,TiO2,incipient_wetness,433.6559859980196,2.646514856378455,869.5662565581238,3.42571623863836,10367.882064665186,0.8405886171464129,76.83360257965032,79.78240245094308,0.9174470238803236,97.7339582053194
catalyst_015,Pd,3.135241787471201,Ce,1.6269984907963386,ZrO2,coprecipitation,698.5965620472097,4.598531596188859,854.7670231482534,3.6304515692013735,32732.344133418865,0.837469907131237,75.25608501850763,71.4028175858112,0.932355971347181,96.98685719720044
catalyst_016,Pt,4.909549289593858,,0.0,CeO2,incipient_wetness,540.0313630778703,4.580413448122259,800.6772178989299,4.456670260287613,19207.41072966221,0.999677351953901,84.94037288642791,77.18707972420037,0.9410318639249726,95.14201204893988
catalyst_017,Rh,8.95144620039633,,0.0,MgO,wet_impregnation,699.0875095589656,5.812287388095813,699.2250914011541,3.21105986734196,32891.698766833535,1.1921326334864182,48.14410789494093,45.16794536185417,0.6509244479622607,65.21225624750133
catalyst_018,Co,9.425392967447028,Ce,3.480148983374865,SiO2,sol_gel,628.0244680357459,2.388705975083074,784.5021680097509,4.960215400417053,15603.36060946096,1.0073318609454949,55.5376240842489,57.72598131666389,0.9250827886563252,84.0277278516857
catalyst_019,Rh,8.291020552112627,La,4.335361592900519,SiO2,incipient_wetness,765.2962210225885,4.045369595443751,750.4548884061599,4.193180715867101,35998.55723111061,1.0807867509030813,64.42660252633522,62.33911819896174,0.8185278690175518,77.78551498436282
catalyst_020,Ru,2.3953745505496977,Mg,4.909204441552656,Al2O3,incipient_wetness,735.5734008277453,5.441618473246701,675.0754081547592,1.1553389377176928,22130.62058692891,1.014832970878662,38.992447238993215,37.21082707873863,0.5990563695808221,79.898742839312
catalyst_021,Pd,2.749420305953857,,0.0,MgO,coprecipitation,564.5415620226714,4.798048843068775,641.5059277253404,1.5309816889718793,48781.47468456636,1.0858380416719808,40.36833335751204,39.83160195217162,0.5343901268753682,53.76590630442877
catalyst_022,Rh,1.727856699554779,La,2.141572374700539,MgO,wet_impregnation,675.3999603061466,2.2327743820337744,874.5641182879442,2.7694089189244178,19591.49436629613,0.8375493160325167,83.35311173312974,85.9722553569327,1.2,79.36259581924891
catalyst_023,Pt,4.2037541078613545,K,3.7892305523218455,SiO2,sol_gel,405.7573954519024,2.464290562027665,613.8007926065259,1.1629152092758803,44218.42336044029,1.0814631437520097,29.65467511835422,29.60494941844181,0.5216490496068716,66.62260741229125
catalyst_024,Ru,4.586542609576361,,0.0,MgO,incipient_wetness,646.3400392208866,4.540374603470575,613.5912029316133,2.498450458505885,35034.396628569455,1.001254503432035,25.278484509906203,23.574383137137257,0.6181562233592083,95.30679701891634
catalyst_025,Co,6.2719802314611695,Ce,4.701151207124788,ZrO2,incipient_wetness,630.1896711503516,3.552679704826088,792.986465532706,2.8330115619660665,31824.6715726374,1.17658592351061,65.46258695073337,70.76964727965024,0.8751231422090606,63.15013411141442
catalyst_026,Pd,1.3506681907921028,,0.0,SiO2,coprecipitation,647.3015537351571,3.346216859554906,796.7167906142226,2.54158648386226,37264.54675891159,0.936249827785696,64.28014693134087,66.75995105101225,0.7217911366340481,80.18925664543443
catalyst_027,Rh,8.231328373463636,K,1.4101728628565324,Al2O3,wet_impregnation,470.9758175118892,5.002459006563433,842.0504217801792,4.962020568002693,26504.70707645706,0.9488072343171132,65.95394144157719,71.63597012725478,1.100294575335036,61.45264926993633
catalyst_028,Rh,1.9281148195233933,Ce,4.512764533397833,CeO2,sol_gel,602.1009489791429,5.305829864430967,696.0148803091836,4.582092913984802,25568.067149366525,0.8043350605921193,64.99556286628507,70.85305589564052,0.6790154551815986,73.66523157304664
catalyst_029,Rh,6.421968333110071,Ca,2.768515261729004,CeO2,sol_gel,485.0911580096916,5.784778171526761,834.3888151413607,1.453858408069792,47237.1642274917,1.189699283413764,80.75446880220053,84.07883123087908,1.1363069552495435,56.86360073853612
catalyst_030,Co,8.801818347797571,La,4.192403818819925,ZrO2,coprecipitation,570.4365900187764,2.890305670284122,718.9954805862756,4.567587635107106,15864.19286768102,1.0053304674769572,54.41337729819241,58.36529597989153,0.5918152955689788,89.01437922836013
catalyst_031,Ni,4.151964220302822,Ca,3.5409059779159997,ZrO2,incipient_wetness,592.6667951856462,3.511950360489018,811.525309288998,1.994896617721152,23210.10116076394,0.9737807377953084,65.13518480288826,66.06626654391823,0.773853186032111,55.70325998086745
catalyst_032,Rh,7.129354843872181,Ce,1.1875323564623497,Al2O3,incipient_wetness,560.0891571488099,3.910859563520911,624.8673965080063,3.1134804851888367,27453.43326426224,1.1208436996106936,44.09497219560571,42.53124443984524,0.5886527506304665,75.32965323614239
catalyst_033,Pt,3.27691151190317,K,3.4770556155332377,MgO,coprecipitation,430.1738188359077,2.664861727637012,665.0427319759474,2.1779757873577195,49833.25500117482,1.078770022345526,56.25044717678853,60.92209565898657,0.5599154662511117,95.6197512356748
catalyst_034,Ru,4.020940583172669,K,0.8483995194778277,ZrO2,wet_impregnation,658.7393446674896,3.5530735359594887,668.8184237114849,2.063751699856956,24413.80380821073,0.9039799451417052,34.363616136200484,32.8499916764346,0.63268889214465,89.06216094593353
catalyst_035,Pd,9.198344660444585,Ca,4.112686214615845,MgO,wet_impregnation,779.9199653167695,4.90287803355344,784.0245587807369,2.6729721451624755,47309.13933416053,1.1464255558001633,72.03920478288083,79.0598017559866,0.8211315523510033,68.08347055702116
catalyst_036,Co,8.46247798635863,Ce,2.8454073458287383,TiO2,sol_gel,425.40473183600056,2.147287470543965,640.15563564019,1.0546878593079891,13014.362414098492,1.076685758867565,44.134225237020125,47.78117531109247,0.6028348065609404,86.9113959286645
catalyst_037,Rh,4.400654943482078,La,1.2054241616481591,SiO2,sol_gel,482.01813140261,3.005769758047194,682.4195391077726,1.8289105960322256,45128.82669916769,1.1027996528688917,52.34984313301311,52.10076987474535,0.6222358443591033,74.96784805337569
catalyst_038,Pd,9.711763888958409,Ce,0.4420411168282329,TiO2,coprecipitation,716.7271357878532,4.359823588550544,744.0137901055425,2.6821431146603003,41386.73055777238,1.055744542789697,63.22697689940343,64.59379049262162,0.7929848531410254,68.82771416478715
catalyst_039,Pt,4.134299203209704,Mg,2.569947445799054,SiO2,incipient_wetness,713.4612050964572,3.5861711292850806,786.626010068362,4.44945483498698,47980.824946305685,0.8588293923716153,62.87615544117481,59.83602275715661,0.9528925631063566,52.20134078742238
catalyst_040,Ru,3.958764492587574,Ca,3.167004271583629,SiO2,sol_gel,496.0582475112772,2.303453312434656,638.6639165731948,1.5121833558310898,16076.107740491774,0.855530869059764,16.989572247202325,16.46516287918708,0.626095160638719,91.96724503301202
