sid,natoms,energy_init,energy_relaxed,energy_diff,force_mean,force_std,volume,atomic_number_mean,atomic_number_std
1298174,1.120468569,0.22654585,0.813718874,-0.040824361,0.013930265,-0.78900851,,0.735265945,-0.575406848
1615349,0.967551946,-0.006130099,0.466363853,-0.164241119,-0.567011975,-0.329210639,,0.377822417,-0.561655569
2008396,-1.446197778,-0.159341787,0.618775576,-0.374545176,0.400778175,-0.536399261,,0.000983431,0.782881674
541655,-1.125364485,0.070826623,1.348187326,-0.383074258,-0.754185949,-0.522524761,,0.596170045,-0.452216942
2307217,0.09380203,-0.182755724,1.7785723,-0.791457041,-1.908086523,-1.2875453,,0.103009116,-1.463179639
556533,-0.291197922,0.728293817,1.186847963,0.352583752,1.5453349,4.088406709,,1.690658994,0.678562154
581741,2.147135108,-0.915936927,0.7611745,-1.206472107,-0.925643828,-0.812856793,,-0.868148069,-1.133396429
1552292,-0.836614521,-0.330292945,-0.839840767,-0.057797951,0.304383404,0.341601537,,-0.992973384,-0.978686508
2101911,0.286302006,-0.140305125,-0.254811817,-0.059065994,-0.045801612,-0.440076297,,0.23035715,0.932851627
1294365,-1.446197778,-0.262501863,1.64757313,-0.829710985,0.171701716,0.192677675,,0.73129766,1.23
1492918,0.799635275,0.010060294,-0.820903985,0.288344643,-0.890443175,-0.664750197,,1.062992763,-0.265523319
554343,-0.034531287,-0.309682908,-1.253481509,0.103592326,0.245703168,1.013289159,,-0.036539204,-0.659023032
851935,0.767551946,-0.385970836,0.008541365,-0.402698384,-0.631158715,-0.360488798,,-0.252252554,-0.760820213
1429934,-0.259114593,-0.491546563,-1.215645972,-0.097600078,-0.809809838,-0.418592453,,0.693866692,0.933677592
1300397,2.307551754,1.020507259,0.426666886,0.912637582,-0.871629555,-0.433526245,,-0.795443663,2.289074753
2322161,-0.291197922,1.23,-0.555570729,0.34834284,0.447838457,2.451049685,,1.159588871,0.726992543
732957,0.767551946,-0.477734097,-1.146559584,-0.106682239,0.153487039,-0.417205577,,-0.069862371,1.028289307
816950,0.318385335,-1.160473074,-1.563045899,-0.672890358,-0.748074949,-0.880176945,,0.216393957,-0.436096162
404976,-0.804531192,-1.021744405,-1.19033851,-0.655371836,-0.052757648,-0.497865468,,0.912244427,1.858092006
718191,-0.644114545,-0.221323638,-0.761186315,0.028448447,1.409675559,1.063562896,,-0.332584256,-0.426960077
561842,-0.515781227,-0.224226846,0.383464526,-0.362089684,-0.456550425,1.010553678,,-0.990437897,2.22
1843773,-1.317864461,-0.389224036,-0.903950793,-0.097136559,0.81,-0.170031153,,2.094620063,1.233109249
1579903,-0.259114593,-0.66113519,-0.291477851,-0.586152541,-0.327651797,0.061743458,,2.006601925,1.069641299
2296688,-1.221614473,-0.345,0.932462366,-0.278328432,1.073698068,0.121857656,,0.687574747,-0.148252111
1438934,3.141718317,-0.97736308,-0.576327007,-0.817278173,-1.30766028,-1.075901135,,0.328103259,-0.202249397
592818,-0.227031263,-0.850617564,0.009960487,-0.884481642,-1.264745147,-0.903844877,,0.681942212,0.963891455
1493325,1.826301814,0.008196609,-1.764270867,0.605798683,-0.491934343,-0.122611094,,-0.269171261,0.033499932
1160032,-0.38744791,-0.570166181,-0.941347194,-0.271904035,0.414298473,-0.508888644,,1.627107021,1.628366638
2306354,-0.740364533,1.276044744,-0.31114821,1.427128557,2.388256845,1.768759719,,0.238015225,1.111248861
1681682,-0.194947934,-0.974748115,-0.588919154,-0.810306297,-0.405020279,-0.831407804,,0.004809243,0.848356244
2072194,2.371718413,1.257976897,-1.369564234,1.76674839,-0.359638082,-0.567315245,,-1.342857358,-1.036156812
2256562,-0.419531239,-0.893853886,-0.687500341,-0.69313681,0.316987587,-0.029295923,,1.572095382,0.068023798
1262283,-0.676197874,-0.044539018,0.753224431,-0.301145854,-0.40968603,-0.660890731,,-1.103479324,-1.088397145
642998,-0.86869785,-0.658617353,-0.17368702,-0.62342349,0.390355122,-0.429273325,,-0.013210945,-0.407815935
1758948,-0.804531192,-0.593350952,0.283774247,-0.710694734,-0.846346514,-0.788095162,,2.3601812,1.233407936
1177204,-0.066614617,-0.755380655,-0.310778364,-0.677242053,-0.933988772,-0.210495046,,-1.018793045,-0.288593025
86630,-1.221614473,-0.983797275,-0.192896343,-0.953756583,-0.627495528,-0.524193663,,-1.343691768,-1.11866394
764883,0.831718605,0.017567992,-0.385643734,0.14876057,-0.102114561,-0.728293755,,-0.087041159,-0.303775833
2053633,-0.804531192,0.056587046,1.378082545,-0.407945547,-0.970003364,-0.013856441,,1.279214582,1.695143145
1973124,-1.093281156,-0.688436151,-0.581874098,-0.51611614,-0.081801537,-0.715195564,,0.646414472,1.758493184
1896998,-0.323281251,0.085731888,-1.213493732,0.49964327,0.636449641,0.464857007,,0.108382511,0.818908127
635166,-0.86869785,-0.478662204,0.665426926,-0.721106386,-0.967154187,-0.815617959,,-0.789750778,-0.084553523
2281298,0.09380203,-0.254984314,0.503092088,-0.434450592,-0.305735433,-0.595239555,,-1.067123088,-1.17769687
768711,-0.002447958,-0.437129576,-0.053772424,-0.434594159,-0.242783618,-0.289066454,,-1.133911223,-1.14549397
462947,0.061718701,1.047966389,0.279865883,0.990781706,0.857293485,0.641927149,,-1.019534713,0.009149967
1252132,-2.216197682,-0.464506311,1.494936317,-0.987280202,-1.736259056,-1.159133875,,2.540711569,1.25387184
1604004,0.414635323,-0.250264549,-0.703845607,-0.020943064,-1.073419256,-0.370284879,,-0.898498651,-0.671944852
1679727,-0.38744791,-0.02051897,-0.400918511,0.114479714,-0.300191645,0.201374132,,-0.614018131,-0.794451631
1687305,0.446718653,0.879743713,0.49234954,0.744590725,-0.231674043,0.348863574,,-0.523494882,-0.25624584
19010,-1.670781084,-0.249211564,1.652603985,-0.817647509,-0.352492788,-0.412484649,,0.12097769,0.171108102
2352036,1.633801838,-0.561471873,0.524990609,-0.759338655,-0.747712086,-0.821704051,,0.563940159,-1.374396203
2320833,-0.836614521,-0.293715804,-0.020441421,-0.297323951,0.490598813,-0.412118059,,1.684845545,1.037728294
511356,0.222135347,-0.381996614,0.012217987,-0.39982645,-0.502192958,-0.670036282,,0.003093649,0.588129165
1441372,-0.579947886,1.040383881,1.721351653,0.494900658,1.212991685,2.129174947,,0.113840314,-0.482997949
487696,0.799635275,-0.563030498,0.005459568,-0.585061692,-1.029533995,-1.052337124,,1.774523632,1.095772064
1835548,-0.708281203,-0.600435064,0.287968719,-0.719452861,-0.585005239,-0.791882797,,-0.67876715,-0.935885704
1898066,-0.579947886,0.441226613,0.427261044,0.312390451,0.161808925,0.26191608,,-1.162821614,-0.351119146
1973273,-0.194947934,1.226514223,-0.885436836,1.570252614,1.378041701,2.967295481,,-0.355365203,1.666550381
1654715,-0.291197922,0.752073714,1.222281055,0.365219919,-0.270392695,1.05330131,,1.437379327,0.7085296
520479,0.735468617,1.388315218,0.264271633,1.348610494,0.817121263,1.472178466,,0.390052811,1.504746888
821253,-0.098697946,-0.570390011,-0.220185245,-0.516291133,-0.787981052,0.312520418,,-0.76819564,-0.911310941
2235247,-0.38744791,-0.570667812,-0.949824307,-0.269553653,-0.218155579,-0.576108262,,-0.729330933,-0.476119359
1288070,-0.86869785,0.638463816,-0.040480657,0.675055724,0.535000447,1.232962534,,2.106383521,1.198967172
784003,1.409218533,0.007196039,1.051129878,-0.348414575,-0.733672102,-0.560815828,,1.436249218,0.65271731
754065,0.061718701,2.239824419,0.355130547,2.199882508,1.962724975,2.828247554,,-1.103216555,-0.739164813
1488256,-0.323281251,-0.263673978,0.925683194,-0.586523408,-0.836529102,-0.121719237,,-0.007684055,0.08113025
1730778,-0.644114545,-0.25414475,0.1892517,-0.327327716,-0.598569255,-0.874833933,,-0.271835244,1.747513551
2152352,-0.162864605,-0.171235599,-1.380360737,0.289958516,-0.491747481,-0.393768448,,0.565436667,1.898849515
2119261,-0.323281251,-0.266408804,0.817800255,-0.552831621,-1.259765821,-0.730993173,,-0.156912228,1.380534101
577234,-0.259114593,-0.819825876,-0.754003973,-0.593939791,-0.546312678,-0.575106155,,-0.554439954,-0.919192902
2005263,-0.355364581,-0.661304485,-0.071023978,-0.660964356,-1.127437196,-0.408145841,,-0.729139669,-0.15643589
1259114,2.820885024,-0.062757836,-0.380454224,0.063798371,-0.297419752,-0.472149459,,-0.020319557,-0.208606248
